Year of Release,Song Title,Artist Name,Artist Genre,Popularity
2022,Super Freaky Girl,Nicki Minaj,dance pop,86
2022,BILLIE EILISH.,Armani White,indie hip hop,69
2021,Sunroof,Nicky Youre,dance pop,74
2022,I Ain't Worried,OneRepublic,piano rock,84
2022,I'm Good (Blue),David Guetta,big room,88
2022,Betty (Get Money),Yung Gravy,minnesota hip hop,75
2018,I Was Never There,The Weeknd,canadian contemporary r&b,93
2022,Bad Habit,Steve Lacy,afrofuturism,84
2021,Until I Found You,Stephen Sanchez,gen z singer-songwriter,75
2022,Only Love Can Hurt Like This - Slowed Down Version,Paloma Faith,british soul,72
2022,Baby Girl,Disco Lines,dance pop,60
2022,Doja,Central Cee,drill brasileiro,80
2022,SNAP,Rosa Linn,dance pop,76
2018,One Kiss (with Dua Lipa),Calvin Harris,dance pop,85
2022,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,dance pop,88
2019,Under The Influence,Chris Brown,dance pop,87
2016,Atlantis,Seafret,folk-pop,73
2022,golden hour,JVKE,modern indie pop,75
2017,Mask Off,Future,atl hip hop,88
2022,It's Corn,Tariq,dance pop,52
2016,Die For You,The Weeknd,canadian contemporary r&b,93
2022,Afraid To Feel,LF SYSTEM,dance pop,69
2013,Just A Cloud Away,Pharrell Williams,hip hop,81
2022,Pink Venom,BLACKPINK,k-pop,84
2017,Don’t Blame Me,Taylor Swift,pop,94
2016,Unstoppable,Sia,australian dance,83
2021,Dandelions - slowed + reverb,Ruth B.,alt z,75
2013,Another Love,Tom Odell,chill pop,76
2022,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,dance pop,67
2006,Say It Right,Nelly Furtado,canadian latin,74
2022,L$d,Luclover,dance pop,58
2022,Static,Steve Lacy,afrofuturism,84
2022,Romantic Homicide,d4vd,dance pop,69
2022,Jiggle Jiggle,Duke & Jones,uk dance,62
1999,Teenage Dirtbag,Wheatus,pop rock,63
2022,Victoria’s Secret,Jax,gen z singer-songwriter,68
1985,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,art pop,79
1979,Angeleyes,ABBA,europop,80
2022,AMAZING,Rex Orange County,bedroom pop,80
2022,BIZCOCHITO,ROSALÍA,r&b en espanol,85
2016,"Sex, Drugs, Etc.",Beach Weather,modern rock,70
2022,Glimpse of Us,Joji,viral pop,85
1998,Iris,The Goo Goo Dolls,neo mellow,71
2019,Mary On A Cross,Ghost,hard rock,77
2021,this is what falling in love feels like,JVKE,modern indie pop,75
2022,About Damn Time,Lizzo,dance pop,80
2022,Toxic Pony,ALTÉGO,dance pop,60
2022,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,argentine hip hop,87
2015,Wait a Minute!,WILLOW,afrofuturism,76
2021,Paro,Nej,dance pop,68
2022,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,dance pop,83
2016,House of Memories,Panic! At The Disco,modern rock,79
2019,Mount Everest,Labrinth,indie poptimism,78
2021,Notion,The Rare Occasions,la indie,66
2022,As It Was,Harry Styles,pop,91
2012,Lost,Frank Ocean,hip hop,83
2022,die first,Nessa Barrett,alt z,70
2022,DESPECHÁ,ROSALÍA,r&b en espanol,85
2019,Tom's Diner,AnnenMayKantereit,cologne indie,67
2018,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,dance pop,72
1994,Pass The Dutchie,Musical Youth,uk reggae,64
2022,Hotel,Lawsy,dance pop,59
2022,THE SHADE,Rex Orange County,bedroom pop,80
2015,Cool for the Summer,Demi Lovato,dance pop,81
2021,U Are My High,DJ Snake,dance pop,77
2021,TO THE MOON,Jnr Choi,gambian hip hop,62
2021,World's Smallest Violin,AJR,modern rock,76
2021,edamame (feat. Rich Brian),bbno$,canadian hip hop,72
1981,Let's Groove,"Earth, Wind & Fire",disco,72
2020,MIDDLE OF THE NIGHT,Elley Duhé,alt z,75
2013,Ginseng Strip 2002,Yung Lean,psychedelic hip hop,66
2018,Softcore,The Neighbourhood,modern alternative rock,83
2021,Frozen,Madonna,dance pop,77
2019,Lost in the Fire (feat. The Weeknd),Gesaffelstein,dark clubbing,75
2018,Lights Are On,Tom Rosenthal,british singer-songwriter,66
2019,love nwantiti (ah ah ah),CKay,afro r&b,73
1970,Love Grows (Where My Rosemary Goes),Edison Lighthouse,bubblegum pop,59
2013,She Knows (feat. Amber Coffman & Cults),J. Cole,conscious hip hop,85
2019,Tek It - Sped Up,Cafuné,brooklyn indie,69
2021,Freaks,Surf Curse,dreamo,70
2022,First Class,Jack Harlow,deep underground hip hop,83
1978,September,"Earth, Wind & Fire",disco,72
2019,Loverboy,A-Wall,bedroom pop,60
2020,Heat Waves,Glass Animals,gauze pop,80
2021,Running Away,VANO 3000,dance pop,55
2016,Mama Said,Lukas Graham,danish pop,71
2021,Happier Than Ever - Edit,Billie Eilish,art pop,88
2021,Get Into It (Yuh),Doja Cat,dance pop,88
2006,Bananza (Belly Dancer),Akon,dance pop,79
2021,Believe Me,Navos,deep groove house,61
